title,slug,page_count,estimated_entry_count
Oppenheimer,oppenheimer--7458857,252.0,2520.0 
Dune: Part Two,dune-part-two--7531765,102.0,1020.0 
Barbie,barbie--7556610,82.0,820.0 
Poor Things,poor-things--7543210,70.0,700.0 
Triangle of Sadness,triangle-of-sadness--7523456,17.0,170.0 
The Banshees of Inisherin,the-banshees-of-inisherin--7534567,67.0,670.0 
About Dry Grasses,about-dry-grasses--7545678,317.0,3170.0 
Inside Out 2,inside-out-2--7567890,16.0,160.0 
Monkey Man,monkey-man--7578901,6.0,60.0 
Ordinary Angels,ordinary-angels--7589012,2.0,20.0 
Anora,anora--7601234,52.0,520.0 
Killers of the Flower Moon,killers-of-the-flower-moon--5407845,41.0,410.0 
Spider-Man: No Way Home,spider-man-no-way-home--6711021,133.0,1330.0 
Top Gun: Maverick,top-gun-maverick--6625758,86.0,860.0 
Avatar: The Way of Water,avatar-the-way-of-water--6970717,71.0,710.0 
John Wick: Chapter 4,john-wick-chapter-4--7082450,105.0,1050.0 
A Quiet Place Part II,a-quiet-place-part-ii--5745586,13.0,130.0 
Doctor Strange in the Multiverse of Madness,doctor-strange-in-the-multiverse-of-madness--6711019,60.0,600.0 
Day Shift,day-shift--7399487,4.0,40.0 
Bad Boys for Life,bad-boys-for-life--6209913,4.0,40.0 
The Northman,the-northman--7335014,23.0,230.0 
The Devil All the Time,the-devil-all-the-time--6375077,19.0,190.0 
Poor Things,poor-things--7543210,70.0,700.0 
The Matrix Resurrections,the-matrix-resurrections--6987643,413.0,4130.0 
Morbius,morbius--6993799,13.0,130.0 
Interceptor,interceptor--7534343,6.0,60.0 
The Invisible Man,the-invisible-man--6314523,21.0,210.0 
Free Guy,free-guy--6563567,20.0,200.0 
Don't Look Up,dont-look-up--7512345,237.0,2370.0 
Tenet,tenet--6185248,212.0,2120.0 
The Batman,the-batman--7011009,215.0,2150.0 

