title,slug,page_count,estimated_entry_count
La La Land,la-la-land--5268807,150,1500 
Arrival,arrival--5230023,100,1000 
Deadpool,deadpool--4551102,103,1030 
Manchester by the Sea,manchester-by-the-sea--5311510,93,930 
Moonlight,moonlight--5213803,42,420 
Parasite,parasite--6052039,67,670 
Marriage Story,marriage-story--6630151,103,1030 
Ford v Ferrari,ford-v-ferrari--6421567,31,310 
Knives Out,knives-out--6525433,40,400 
The Irishman,the-irishman--6630367,160,1600 
Once Upon a Time in Hollywood,once-upon-a-time-in-hollywood--6614205,171,1710 
Portrait of a Lady on Fire,portrait-of-a-lady-on-fire--6073330,34,340 
The Handmaiden,the-handmaiden--5363673,7,70 
Get Out,get-out--5879101,53,530 
Dunkirk,dunkirk--5993612,148,1480 
The Shape of Water,the-shape-of-water--6037814,44,440 
Roma,roma-alfonso-cuaron-filmi--5876819,62,620 
Spider-Man: Into the Spider-Verse,spider-man-into-the-spider-verse--6703670,23,230 
Ghostbusters,ghostbusters--5067037,30,300 
Suicide Squad,suicide-squad--4551596,88,880 
Bohemian Rhapsody,bohemian-rhapsody--6477824,76,760 
Little Italy,little-italy--6597786,3,30 
Avengers: Endgame,avengers-endgame--6660294,227,2270 
Thelma,thelma--6386438,9,90 
Climax,climax--6744082,69,690 
The Guilty,the-guilty--6678868,14,140 
Monos,monos--6768578,4,40 


